Players,Team,Type,Base,Sold
Virat Kohli,RCB,BAT,-,21
Rajat Patidar,RCB,BAT,-,11
Yash Dayal,RCB,BOWL,-,5
Jasprit Bumrah,MI,BOWL,-,18
Suryakumar Yadav,MI,BAT,-,16.35
Hardik Pandya,MI,AR,-,16.35
Rohit Sharma,MI,BAT,-,16.3
Tilak Varma,MI,AR,-,8
Heinrich Klaasen,SRH,BAT,-,23
Pat Cummins,SRH,AR,-,18
Abhishek Sharma,SRH,AR,-,14
Travis Head,SRH,BAT,-,14
Nitish Kumar Reddy,SRH,AR,-,6
Ruturaj Gaikwad,CSK,BAT,-,18
Ravindra Jadeja,CSK,AR,-,18
Matheesha Pathirana,CSK,BOWL,-,13
Shivam Dube,CSK,AR,-,12
MS Dhoni,CSK,BAT,-,4
Axar Patel,DC,AR,-,16.5
Kuldeep Yadav,DC,BOWL,-,13.25
Tristan Stubbs,DC,BAT,-,10
Abishek Porel,DC,BAT,-,4
Rinku Singh,KKR,BAT,-,13
Varun Chakravarthy,KKR,AR,-,12
Sunil Narine,KKR,BOWL,-,12
Andre Russell,KKR,AR,-,12
Harshit Rana,KKR,BOWL,-,4
Ramandeep Singh,KKR,AR,-,4
Sanju Samson,RR,BAT,-,18
Yashasvi Jaiswal,RR,AR,-,18
Riyan Parag,RR,AR,-,14
Dhruv Jurel,RR,BAT,-,14
Shimron Hetmyer,RR,BAT,-,11
Sandeep Sharma,RR,BOWL,-,4
Rashid Khan,GT,BOWL,-,18
Shubman Gill,GT,BAT,-,16.5
Sai Sudharsan,GT,AR,-,8.5
Rahul Tewatia,GT,AR,-,4
M Shahrukh Khan,GT,AR,-,4
Nicholas Pooran,LSG,BAT,-,21
Ravi Bishnoi,LSG,BOWL,-,11
Mayank Yadav,LSG,BOWL,-,11
Mohsin Khan,LSG,BOWL,-,4
Ayush Badoni,LSG,AR,-,4
Shashank Singh,PBKS,AR,-,5.5
Prabhsimran Singh,PBKS,BAT,-,4
Jos Buttler,GT,BAT,2,15.75
Shreyas Iyer,PBKS,BAT,2,26.75
Rishabh Pant,LSG,BAT,2,27
Kagiso Rabada,GT,BOWL,2,10.75
Arshdeep Singh,PBKS,BOWL,2,18
Mitchell Starc,DC,BOWL,2,11.75
Yuzvendra Chahal,PBKS,BOWL,2,18
